#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"

# Common Great Powers
ENG		= "countries/United Kingdom.txt"
RUS		= "countries/Russia.txt"
FRA		= "countries/France.txt"
PRU		= "countries/Prussia.txt"
GER		= "countries/Germany.txt"
AUS		= "countries/Austria.txt"
USA		= "countries/USA.txt"
JAP		= "countries/Japan.txt"
ITA		= "countries/Italy.txt"
KUK		= "countries/Austria-Hungary.txt"


#European Islands
LAT		= "countries/Latvia.txt"
NET		= "countries/Lavland.txt"
SLO		= "countries/Slovakia.txt"
ROM		= "countries/Romania.txt"
DBR		= "countries/Debrecen.txt"
BAN		= "countries/Banat.txt"
BAD		= "countries/Baden.txt"
ALS		= "countries/Alsace.txt"
SAX		= "countries/Saxony.txt"
THU		= "countries/Thuringia.txt"
HAN		= "countries/Hansa.txt"
SOR		= "countries/Sorbia.txt"
DAN		= "countries/Danubia.txt"
MAC		= "countries/Macedonia.txt"
MON		= "countries/Montenegro.txt"
BOH		= "countries/Bohemia.txt"
ALB		= "countries/Albania.txt"
TUR		= "countries/Turkey.txt"
ATT		= "countries/Attica.txt"
SCA		= "countries/Scandinavia.txt"
UNS		= "countries/Union of Stales.txt"
CAT		= "countries/Catalonia.txt"
POR		= "countries/Portugal.txt"
AND		= "countries/Andalucia.txt"
CAS		= "countries/Castilla.txt"
AST		= "countries/Asturias.txt"
NAP		= "countries/Naples.txt"
SIC		= "countries/Two Sicilies.txt"
TUS		= "countries/Tuscany.txt"
PAR		= "countries/Parma.txt"
SWI		= "countries/Switzerland.txt"
ULA		= "countries/Ulaidh.txt"
LEI		= "countries/Leinster.txt"
CNN		= "countries/Connacht.txt"
IRE		= "countries/Ireland.txt"


UKR		= "countries/Ukraine.txt"
TRI		= "countries/Tripoli.txt"
ZUL		= "countries/Zulu.txt"

##HoD Dominions
dynamic_tags  = yes # any tags after this is considered dynamic dominions
D01		= "countries/D01.txt"
D02		= "countries/D02.txt"
D03		= "countries/D03.txt"
D04		= "countries/D04.txt"
D05		= "countries/D05.txt"
D06		= "countries/D06.txt"
D07		= "countries/D07.txt"
D08		= "countries/D08.txt"
D09		= "countries/D09.txt"
D10		= "countries/D10.txt"

