##
#############State Nations (Pero Credit)##############;;;;;;;;;;;;;;x
TIN;佈Tiny State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬Less than 75k POPs\n即1870 - 1900 劬Less than 125k POPs\n即1900+ 劬Less than 200k POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬4% Warscore\n即Acquire State: 劬12% Warscore\n即Demand Concession: 劬8% Warscore\n即Place in the Sun: 劬4% Warscore\n即Free Peoples: 劬12% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
SMA;佈Small State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬75k to 300k POPs\n即1870 - 1900 劬125k to 500k POPs\n即1900+ 劬200k to 800k POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬12% Warscore\n即Acquire State: 劬24% Warscore\n即Demand Concession: 劬16% Warscore\n即Place in the Sun: 劬8% Warscore\n即Free Peoples: 劬24% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
MED;佈Medium State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬300k to 600k POPs\n即1870 - 1900 劬500k to 850k POPs\n即1900+ 劬800k to 1.4M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬16% Warscore\n即Acquire State: 劬32% Warscore\n即Demand Concession: 劬24% Warscore\n即Place in the Sun: 劬12% Warscore\n即Free Peoples: 劬32% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
LRG;佈Large State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬600k to 850k POPs\n即1870 - 1900 劬850k to 1.25M POPs\n即1900+ 劬1.4M to 2M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬24% Warscore\n即Acquire State: 劬48% Warscore\n即Demand Concession: 劬32% Warscore\n即Place in the Sun: 劬16% Warscore\n即Free Peoples: 劬48% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
HUG;佈Huge State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬Greater than 850k POPs\n即1870 - 1900 劬Greater than 1.25M POPs\n即1900+ 劬Greater than 2M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬32% Warscore\n即Acquire State: 劬64% Warscore\n即Demand Concession: 劬40% Warscore\n即Place in the Sun: 劬20% Warscore\n即Free Peoples: 劬64% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
STR;佈Debug Tag;;;;;;;;;;;;;x
STR_ADJ;Debug;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Additional CBs;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
acquire_core_state_tiny;Acquire Tiny Core;;;;;;;;;;;x
acquire_core_state_tiny_short;Acquire $STATE$;;;;;;;;;;;x
acquire_core_state_tiny_desc;Aquire an enemy 即tiny state劬 where we have 即core provinces.劬;;;;;;;;;;;x
acquire_core_state_tiny_setup;Acquire tiny core $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
acquire_core_state_small;Acquire Small Core;;;;;;;;;;;x
acquire_core_state_small_short;Acquire $STATE$;;;;;;;;;;;x
acquire_core_state_small_desc;Aquire an enemy 即small state劬 where we have 即core provinces.劬;;;;;;;;;;;x
acquire_core_state_small_setup;Acquire small core $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
acquire_core_state_medium;Acquire Medium Core;;;;;;;;;;;x
acquire_core_state_medium_short;Acquire $STATE$;;;;;;;;;;;x
acquire_core_state_medium_desc;Aquire an enemy 即medium state劬 where we have 即core provinces.劬;;;;;;;;;;;x
acquire_core_state_medium_setup;Acquire medium core $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
acquire_core_state_large;Acquire Large Core;;;;;;;;;;;x
acquire_core_state_large_short;Acquire $STATE$;;;;;;;;;;;x
acquire_core_state_large_desc;Aquire an enemy 即large state劬 where we have 即core provinces.劬;;;;;;;;;;;x
acquire_core_state_large_setup;Acquire large core $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
acquire_core_state_huge;Acquire Huge Core;;;;;;;;;;;x
acquire_core_state_huge_short;Acquire $STATE$;;;;;;;;;;;x
acquire_core_state_huge_desc;Aquire an enemy 即huge state劬 where we have 即core provinces.劬;;;;;;;;;;;x
acquire_core_state_huge_setup;Acquire huge core $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
demand_concession_casus_belli_china;Chinese Core Concession;;;;;;;;;;;x
demand_concession_casus_belli_china_short;Demand $STATE$ from China;;;;;;;;;;;x
demand_concession_casus_belli_china_desc;Force China to concede core territory.;;;;;;;;;;;x
demand_concession_casus_belli_china_setup;Demand that $RECIPIENT$ cede territory.;;;;;;;;;;;x
take_capital_earlygame;Take Capital Earlygame;;;;;;;;;;;x
take_capital_earlygame_short;Acquire capital $STATE$.;;;;;;;;;;;x
take_capital_earlygame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;x
take_capital_earlygame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;x
take_capital_midgame;Take Capital Midgame;;;;;;;;;;;x
take_capital_midgame_short;Acquire capital $STATE$.;;;;;;;;;;;x
take_capital_midgame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;x
take_capital_midgame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;x
take_capital_lategame;Take Capital Lategame;;;;;;;;;;;x
take_capital_lategame_short;Acquire capital $STATE$.;;;;;;;;;;;x
take_capital_lategame_desc;Force target to concede its capital $STATE$.;;;;;;;;;;;x
