x;x#dead line lol
AAA_conservative_1;Conservative Party;;;;;;;;;;;;;x;;;;
AAA_conservative_2;More Conservative Party;;;;;;;;;;;;;x;;;;
AAA_conservative_3; Other Conservative Party;;;;;;;;;;;;;x;;;;
AAA_conservative;Conservative Party;;;;;;;;;;;;;x;;;;
AAA_reactionary;Reactionary Party;;;;;;;;;;;;;x;;;;
AAA_reactionary_2;Reactionarier Party;;;;;;;;;;;;;x;;;;
AAA_fascist;Fascist Party;;;;;;;;;;;;;x;;;;
AAA_liberal;Liberal Party;;;;;;;;;;;;;x;;;;
AAA_liberal_1;Liberal Party;;;;;;;;;;;;;x;;;;
AAA_liberal_2;More Liberal Party;;;;;;;;;;;;;x;;;;
AAA_liberal_3;Other Liberal Party;;;;;;;;;;;;;x;;;;
AAA_liberal_4;Liberal Party;;;;;;;;;;;;;x;;;;
AAA_liberal_5;Liberal Party;;;;;;;;;;;;;x;;;;
AAA_anarcho_liberal;Anarcho Liberals;;;;;;;;;;;;;x;;;;
AAA_socialist;Socialist Party;;;;;;;;;;;;;x;;;;
AAA_socialist_1;Socialist Party;;;;;;;;;;;;;x;;;;
AAA_socialist_2;More Socialist Party;;;;;;;;;;;;;x;;;;
AAA_socialist_3;More Socialist Party;;;;;;;;;;;;;x;;;;
AAA_communist;Communist Party;;;;;;;;;;;;;x;;;;
AAA_communist_1;Communist Party;;;;;;;;;;;;;x;;;;
AAA_communist_2;Super Communist Party;;;;;;;;;;;;;x;;;;
SOR_liberal;Liberalna;;;;;;;;;;;;;x;;;;						#sorry about the vicky alphabet limitations
SOR_liberal_2;Derjemece a rost;;;;;;;;;;;;;x;;;;
SOR_conservative;Konserwatiwni;;;;;;;;;;;;;x;;;;
SOR_conservative_2;Wotcinska strona;;;;;;;;;;;;;x;;;;
SOR_socialist;Socialisca;;;;;;;;;;;;;x;;;;
SOR_socialist_2;Socialdemokraca;;;;;;;;;;;;;x;;;;
SOR_reactionary;Jednotna strona;;;;;;;;;;;;;x;;;;
SOR_anarcho_liberal;Swobodna strona;;;;;;;;;;;;;x;;;;
SOR_communist;Mjezynarodna;;;;;;;;;;;;;x;;;;
SOR_fascist;Serbska Prewahstwo;;;;;;;;;;;;;x;;;;
GHO_exclusive;World Bank Party;;;;;;;;;;;;;x;;;;
